whiskey,reviews,average,std_dev,type,brand,dist,owner,lat,lng,zoom
1792 Full Proof,18,80.89,4.78,Bourbon,1792,Barton 1792,Sazerac,37.804914,-85.477748,17
1792 Port Finish,14,79.93,3.08,Bourbon,1792,Barton 1792,Sazerac,37.804914,-85.477748,17
1792 Ridgemont Reserve,12,80.92,7.69,Bourbon,1792,Barton 1792,Sazerac,37.804914,-85.477748,17
1792 Small Batch,10,76.2,4.26,Bourbon,1792,Barton 1792,Sazerac,37.804914,-85.477748,17
1792 Sweet Wheat,15,78.0,9.1,Bourbon,1792,Barton 1792,Sazerac,37.804914,-85.477748,17
Aberfeldy 12,30,76.9,6.1,Scotch (Highlands),Aberfeldy,Aberfeldy,Bacardi,56.62429,-3.850271,17
Aberfeldy 21,10,83.7,6.25,Scotch (Highlands),Aberfeldy,Aberfeldy,Bacardi,56.62429,-3.850271,17
Aberlour 10,32,78.97,7.08,Scotch (Speyside),Aberlour,Aberlour,Pernod Ricard,57.467053,-3.228199,17
Aberlour 12 Double Cask Matured,56,82.07,5.87,Scotch (Speyside),Aberlour,Aberlour,Pernod Ricard,57.467053,-3.228199,17
Aberlour 12 Non Chill Filtered,60,88.5,4.62,Scotch (Speyside),Aberlour,Aberlour,Pernod Ricard,57.467053,-3.228199,17
Aberlour 16,35,84.49,5.32,Scotch (Speyside),Aberlour,Aberlour,Pernod Ricard,57.467053,-3.228199,17
Aberlour 18,22,86.86,6.2,Scotch (Speyside),Aberlour,Aberlour,Pernod Ricard,57.467053,-3.228199,17
Aberlour A'bunadh batch #39,15,88.67,5.19,Scotch (Speyside),Aberlour,Aberlour,Pernod Ricard,57.467053,-3.228199,17
Aberlour A'bunadh batch #42,11,87.45,3.47,Scotch (Speyside),Aberlour,Aberlour,Pernod Ricard,57.467053,-3.228199,17
Aberlour A'bunadh batch #45,25,89.6,3.87,Scotch (Speyside),Aberlour,Aberlour,Pernod Ricard,57.467053,-3.228199,17
Aberlour A'bunadh batch #46,12,86.42,5.2,Scotch (Speyside),Aberlour,Aberlour,Pernod Ricard,57.467053,-3.228199,17
Aberlour A'bunadh batch #47,16,89.69,4.32,Scotch (Speyside),Aberlour,Aberlour,Pernod Ricard,57.467053,-3.228199,17
Alberta Premium Dark Horse,25,84.24,7.98,Canadian Whisky,Alberta Premium,Alberta Premium,Beam Suntory,51.023004,-114.027073,17
Amrut Cask Strength,15,89.0,4.38,World,Amrut,Amrut,Amrut,12.889107,77.452132,17
Amrut Fusion,39,85.36,5.77,World,Amrut,Amrut,Amrut,12.889107,77.452132,17
Amrut Intermediate Sherry,18,85.11,7.02,World,Amrut,Amrut,Amrut,12.889107,77.452132,17
Amrut Kadhambam,17,86.06,4.92,World,Amrut,Amrut,Amrut,12.889107,77.452132,17
Amrut Peated Cask Strength,19,85.32,8.85,World,Amrut,Amrut,Amrut,12.889107,77.452132,17
Amrut Portonova,26,87.58,5.16,World,Amrut,Amrut,Amrut,12.889107,77.452132,17
Amrut Spectrum 004,10,89.05,2.89,World,Amrut,Amrut,Amrut,12.889107,77.452132,17
AnCnoc 12,61,82.1,7.23,Scotch (Speyside),AnCnoc,Knockdhu,Inver House,57.563535,-2.758611,17
AnCnoc 16,20,86.9,4.1,Scotch (Speyside),AnCnoc,Knockdhu,Inver House,57.563535,-2.758611,17
AnCnoc Flaughter,10,78.9,18.75,Scotch (Speyside),AnCnoc,Knockdhu,Inver House,57.563535,-2.758611,17
Angel's Envy Bourbon,28,80.64,6.93,Bourbon,Angel's Envy,Angel's Envy,Bacardi,38.254737,-85.743699,17
Angel's Envy Cask Strength,13,88.08,9.27,Bourbon,Angel's Envy,Angel's Envy,Bacardi,38.254737,-85.743699,17
Angel's Envy Rye,23,83.04,8.7,Rye,Angel's Envy,Angel's Envy,Bacardi,38.254737,-85.743699,17
Ardbeg 10,166,86.04,6.38,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardbeg Airigh Nam Beist 1990,15,88.13,5.42,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardbeg Alligator,30,89.2,4.32,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardbeg An Oa,14,82.64,5.96,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardbeg Ardbog,49,88.94,4.39,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardbeg Auriverdes,16,84.12,4.36,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardbeg Corryvreckan,95,89.38,4.97,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardbeg Dark Cove Committee Release,16,84.12,9.56,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardbeg Day,12,89.83,3.24,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardbeg Drum Committee Release,10,83.8,4.94,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardbeg Galileo,39,88.08,6.4,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardbeg Grooves Committee Release,9,82.67,7.89,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardbeg Perpetuum,13,82.46,6.33,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardbeg Supernova 2014,11,90.55,5.2,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardbeg Uigeadail,175,90.66,5.07,Scotch (Islay),Ardbeg,Ardbeg,LVMH,55.640718,-6.107898,17
Ardmore 12 Port Wood Finish,8,82.88,6.33,Scotch (Highlands),Ardmore,Ardmore,Beam Suntory,57.351193,-2.745273,17
Ardmore Legacy,9,73.44,7.88,Scotch (Highlands),Ardmore,Ardmore,Beam Suntory,57.351193,-2.745273,17
Ardmore Traditional Cask Peated,31,79.39,5.91,Scotch (Highlands),Ardmore,Ardmore,Beam Suntory,57.351193,-2.745273,17
Arran 10,40,81.9,7.19,Scotch (Islands),Arran,Arran,Arran,55.697742,-5.275511,17
Arran 12 Cask Strength,18,85.39,4.95,Scotch (Islands),Arran,Arran,Arran,55.697742,-5.275511,17
Arran 14,34,83.74,5.32,Scotch (Islands),Arran,Arran,Arran,55.697742,-5.275511,17
Arran Amarone Cask Finish,21,83.52,4.63,Scotch (Islands),Arran,Arran,Arran,55.697742,-5.275511,17
Arran Port Cask Finish,21,78.81,8.78,Scotch (Islands),Arran,Arran,Arran,55.697742,-5.275511,17
Arran Sauternes Cask Finish,22,81.41,7.12,Scotch (Islands),Arran,Arran,Arran,55.697742,-5.275511,17
Auchentoshan 12,41,77.85,7.3,Scotch (Lowlands),Auchentoshan,Auchentoshan,Beam Suntory,55.922967,-4.438055,17
Auchentoshan Classic,11,74.45,8.2,Scotch (Lowlands),Auchentoshan,Auchentoshan,Beam Suntory,55.922967,-4.438055,17
Auchentoshan Three Wood,53,81.15,7.31,Scotch (Lowlands),Auchentoshan,Auchentoshan,Beam Suntory,55.922967,-4.438055,17
Auchentoshan Valinch,36,83.11,7.3,Scotch (Lowlands),Auchentoshan,Auchentoshan,Beam Suntory,55.922967,-4.438055,17
Aultmore 12,14,79.43,4.73,Scotch (Speyside),Aultmore,Aultmore,Bacardi,57.567565,-3.002121,17
Baker's 107,31,80.23,10.28,Bourbon,Baker's,Jim Beam,Beam Suntory,37.929228,-85.652782,17
Balblair 1990 2nd Release,11,86.91,3.36,Scotch (Highlands),Balblair,Balblair,Inver House,57.839939,-4.181173,17
Balcones Brimstone,20,75.5,19.14,American Whiskey,Balcones,Balcones,Balcones,31.550398,-97.135632,17
Balcones Texas Single Malt,19,83.61,5.62,American Whiskey,Balcones,Balcones,Balcones,31.550398,-97.135632,17
Balvenie 12 Doublewood,120,81.08,5.74,Scotch (Speyside),Balvenie,Balvenie,William Grant & Sons,57.458888,-3.12907,17
Balvenie 12 Single Barrel First Fill,27,84.74,4.92,Scotch (Speyside),Balvenie,Balvenie,William Grant & Sons,57.458888,-3.12907,17
Balvenie 14 Caribbean Cask,99,83.84,5.88,Scotch (Speyside),Balvenie,Balvenie,William Grant & Sons,57.458888,-3.12907,17
Balvenie 15 Single Barrel,58,87.09,5.07,Scotch (Speyside),Balvenie,Balvenie,William Grant & Sons,57.458888,-3.12907,17
Balvenie 15 Single Barrel Sherry Cask,23,84.26,6.4,Scotch (Speyside),Balvenie,Balvenie,William Grant & Sons,57.458888,-3.12907,17
Balvenie 17 Doublewood,36,84.5,5.61,Scotch (Speyside),Balvenie,Balvenie,William Grant & Sons,57.458888,-3.12907,17
Balvenie 17 Madeira Cask,12,88.33,3.8,Scotch (Speyside),Balvenie,Balvenie,William Grant & Sons,57.458888,-3.12907,17
Balvenie 17 Peated Cask,22,87.82,5.73,Scotch (Speyside),Balvenie,Balvenie,William Grant & Sons,57.458888,-3.12907,17
Balvenie 21 Portwood,50,86.46,6.49,Scotch (Speyside),Balvenie,Balvenie,William Grant & Sons,57.458888,-3.12907,17
Balvenie Tun 1401 Batch #3,14,91.64,4.5,Scotch (Speyside),Balvenie,Balvenie,William Grant & Sons,57.458888,-3.12907,17
Basil Hayden's,21,76.86,7.39,Bourbon,Basil Hayden's,Jim Beam,Beam Suntory,37.929228,-85.652782,17
BenRiach 10 Curiositas,25,84.2,5.52,Scotch (Speyside),BenRiach,BenRiach,Brown-Forman,57.611292,-3.291932,17
BenRiach 12,18,78.83,15.26,Scotch (Speyside),BenRiach,BenRiach,Brown-Forman,57.611292,-3.291932,17
BenRiach 12 Importanticus Fumosus,11,84.73,4.27,Scotch (Speyside),BenRiach,BenRiach,Brown-Forman,57.611292,-3.291932,17
BenRiach 12 Sherry Matured,17,82.76,5.7,Scotch (Speyside),BenRiach,BenRiach,Brown-Forman,57.611292,-3.291932,17
BenRiach 16,15,83.67,5.75,Scotch (Speyside),BenRiach,BenRiach,Brown-Forman,57.611292,-3.291932,17
BenRiach 17 Solstice,40,88.62,4.55,Scotch (Speyside),BenRiach,BenRiach,Brown-Forman,57.611292,-3.291932,17
Benrinnes 14 1999 Lady of the Glen,10,93.2,3.74,Scotch (Speyside),Benrinnes,Benrinnes,Diageo,57.441887,-3.236881,17
Benrinnes 23,22,93.27,5.62,Scotch (Speyside),Benrinnes,Benrinnes,Diageo,57.441887,-3.236881,17
Benromach 10,54,82.35,6.91,Scotch (Speyside),Benromach,Benromach,Gordon & MacPhail,57.613594,-3.620028,17
Benromach 10 100 Proof,17,88.47,4.87,Scotch (Speyside),Benromach,Benromach,Gordon & MacPhail,57.613594,-3.620028,17
Bernheim Original Small Batch Wheat Whiskey,18,78.11,9.52,Other,Bernheim,Heaven Hill,Heaven Hill,37.794984,-85.463799,17
Black Bottle,33,76.94,7.83,Scotch (Blend),Black Bottle,Blended (Scotch),Distell Group,56.745487,-4.242247,7
Black Grouse,13,71.54,11.74,Scotch (Blend),The Famous Grouse,Blended (Scotch),Edrington,56.745487,-4.242247,7
Black Maple Hill,16,78.5,6.31,Bourbon,Black Maple Hill,Sourced (Bourbon),CVI Brands,37.468601,-85.018563,7
Blanton's Original Single Barrel,53,85.62,5.24,Bourbon,Blanton's,Buffalo Trace,Sazerac Company,38.216776,-84.870889,17
Blanton's Straight from the Barrel,32,87.94,7.04,Bourbon,Blanton's,Buffalo Trace,Sazerac Company,38.216776,-84.870889,17
Booker's 25th Anniversary,12,89.42,3.55,Bourbon,Booker's,Jim Beam,Beam Suntory,37.929228,-85.652782,17
Booker's Bourbon,86,87.41,5.72,Bourbon,Booker's,Jim Beam,Beam Suntory,37.929228,-85.652782,17
Booker's Rye,12,88.83,5.36,Rye,Booker's,Jim Beam,Beam Suntory,37.929228,-85.652782,17
Bowmore 12,62,76.21,9.1,Scotch (Islay),Bowmore,Bowmore,Beam Suntory,55.756907,-6.289849,17
Bowmore 15 Darkest,43,79.23,7.62,Scotch (Islay),Bowmore,Bowmore,Beam Suntory,55.756907,-6.289849,17
Bowmore 15 Laimrig,14,86.21,3.21,Scotch (Islay),Bowmore,Bowmore,Beam Suntory,55.756907,-6.289849,17
Bowmore 18,24,82.21,7.01,Scotch (Islay),Bowmore,Bowmore,Beam Suntory,55.756907,-6.289849,17
Bowmore Legend,19,65.53,17.05,Scotch (Islay),Bowmore,Bowmore,Beam Suntory,55.756907,-6.289849,17
Bowmore Vault Edition 1st Release,11,79.18,6.13,Scotch (Islay),Bowmore,Bowmore,Beam Suntory,55.756907,-6.289849,17
Breckenridge Bourbon,11,79.36,6.27,Bourbon,Breckenridge,Breckenridge,Breckenridge,55.756907,-6.289849,17
Bruichladdich 21 Cuvee 407 PX,13,88.46,3.84,Scotch (Islay),Bruichladdich,Bruichladdich,Remy Cointreau,55.766549,-6.362269,17
Bruichladdich Black Art 2.2,24,88.88,3.58,Scotch (Islay),Bruichladdich,Bruichladdich,Remy Cointreau,55.766549,-6.362269,17
Bruichladdich Black Art 3.1,20,90.1,5.3,Scotch (Islay),Bruichladdich,Bruichladdich,Remy Cointreau,55.766549,-6.362269,17
Bruichladdich Black Art 4.1,24,89.04,6.74,Scotch (Islay),Bruichladdich,Bruichladdich,Remy Cointreau,55.766549,-6.362269,17
Bruichladdich Octomore 4.2_167 Comus,19,91.68,3.73,Scotch (Islay),Bruichladdich,Bruichladdich,Remy Cointreau,55.766549,-6.362269,17
Bruichladdich Octomore 6.1,37,88.19,4.99,Scotch (Islay),Bruichladdich,Bruichladdich,Remy Cointreau,55.766549,-6.362269,17
Bruichladdich Octomore 6.2,15,90.27,4.99,Scotch (Islay),Bruichladdich,Bruichladdich,Remy Cointreau,55.766549,-6.362269,17
Bruichladdich Octomore 6.3,20,85.5,6.57,Scotch (Islay),Bruichladdich,Bruichladdich,Remy Cointreau,55.766549,-6.362269,17
Bruichladdich Octomore 7.2,19,87.95,3.44,Scotch (Islay),Bruichladdich,Bruichladdich,Remy Cointreau,55.766549,-6.362269,17
Bruichladdich Octomore 7.3,14,88.07,4.51,Scotch (Islay),Bruichladdich,Bruichladdich,Remy Cointreau,55.766549,-6.362269,17
Bruichladdich Octomore 7.4,10,84.8,6.56,Scotch (Islay),Bruichladdich,Bruichladdich,Remy Cointreau,55.766549,-6.362269,17
Bruichladdich Port Charlotte 10,18,87.56,2.25,Scotch (Islay),Bruichladdich,Bruichladdich,Remy Cointreau,55.766549,-6.362269,17
Bruichladdich Port Charlotte 2007 CC:01,13,86.31,2.78,Scotch (Islay),Bruichladdich,Bruichladdich,Remy Cointreau,55.766549,-6.362269,17
Bruichladdich Port Charlotte An Turas Mor,19,84.68,2.98,Scotch (Islay),Bruichladdich,Bruichladdich,Remy Cointreau,55.766549,-6.362269,17
Bruichladdich Port Charlotte PC12 Oileanach Furachail,10,88.3,5.03,Scotch (Islay),Bruichladdich,Bruichladdich,Remy Cointreau,55.766549,-6.362269,17
Bruichladdich Port Charlotte PC7 Sin an Doigh Ileach,19,89.37,5.2,Scotch (Islay),Bruichladdich,Bruichladdich,Remy Cointreau,55.766549,-6.362269,17
Bruichladdich Port Charlotte Scottish Barley,39,83.59,5.54,Scotch (Islay),Bruichladdich,Bruichladdich,Remy Cointreau,55.766549,-6.362269,17
Bruichladdich Port Charlotte The Peat Project,14,82.57,5.58,Scotch (Islay),Bruichladdich,Bruichladdich,Remy Cointreau,55.766549,-6.362269,17
Bruichladdich Rocks,26,82.77,5.26,Scotch (Islay),Bruichladdich,Bruichladdich,Remy Cointreau,55.766549,-6.362269,17
Bruichladdich Scottish Barley The Classic Laddie,26,83.96,4.57,Scotch (Islay),Bruichladdich,Bruichladdich,Remy Cointreau,55.766549,-6.362269,17
Bruichladdich The Laddie Sixteen,14,86.64,4.6,Scotch (Islay),Bruichladdich,Bruichladdich,Remy Cointreau,55.766549,-6.362269,17
Bruichladdich The Laddie Ten,81,86.52,4.22,Scotch (Islay),Bruichladdich,Bruichladdich,Remy Cointreau,55.766549,-6.362269,17
Buchanan's 12 De Luxe,9,78.89,7.49,Scotch (Blend),Buchanan's,Blended (Scotch),Diageo,56.745487,-4.242247,7
Buffalo Trace,70,82.91,6.92,Bourbon,Buffalo Trace,Buffalo Trace,Sazerac Company,38.216776,-84.870889,17
Buffalo Trace White Dog Mash #1,7,59.57,19.57,Other,Buffalo Trace,Buffalo Trace,Sazerac Company,38.216776,-84.870889,17
Bulleit Bourbon,50,79.88,6.31,Bourbon,Bulleit,Four Roses,Diageo,37.97337,-84.898452,17
Bulleit Bourbon 10,15,83.8,5.37,Bourbon,Bulleit,Four Roses,Diageo,37.97337,-84.898452,17
Bulleit Rye,50,82.6,5.7,Rye,Bulleit,Four Roses,Diageo,37.97337,-84.898452,17
Bunnahabhain 12,117,85.24,5.92,Scotch (Islay),Bunnahabhain,Bunnahabhain,Distell Group,55.883412,-6.126698,17
Bunnahabhain 14 Pedro Ximenez Finish,12,85.67,7.41,Scotch (Islay),Bunnahabhain,Bunnahabhain,Distell Group,55.883412,-6.126698,17
Bunnahabhain 18,45,87.69,5.18,Scotch (Islay),Bunnahabhain,Bunnahabhain,Distell Group,55.883412,-6.126698,17
Bunnahabhain 25,14,88.0,6.19,Scotch (Islay),Bunnahabhain,Bunnahabhain,Distell Group,55.883412,-6.126698,17
Bunnahabhain Toiteach,19,83.63,6.98,Scotch (Islay),Bunnahabhain,Bunnahabhain,Distell Group,55.883412,-6.126698,17
Bushmills 10,12,75.17,13.66,Irish Whiskey,Bushmills,Old Bushmills,Proximo,55.202915,-6.51727,17
Bushmills Black Bush,11,79.36,4.43,Irish Whiskey,Bushmills,Old Bushmills,Proximo,55.202915,-6.51727,17
Caol Ila 12,112,84.67,8.23,Scotch (Islay),Caol Ila,Caol Ila,Diageo,55.854129,-6.109328,17
Caol Ila 15 Unpeated,17,85.35,4.77,Scotch (Islay),Caol Ila,Caol Ila,Diageo,55.854129,-6.109328,17
Caol Ila 18,14,87.21,4.63,Scotch (Islay),Caol Ila,Caol Ila,Diageo,55.854129,-6.109328,17
Caol Ila Distiller's Edition,12,86.5,4.85,Scotch (Islay),Caol Ila,Caol Ila,Diageo,55.854129,-6.109328,17
Cardhu 12,33,76.27,7.97,Scotch (Speyside),Cardhu,Cardhu,Diageo,57.470499,-3.350063,17
Chivas Regal 12,55,69.15,10.12,Scotch (Blend),Chivas,Blended (Scotch),Pernod Ricard,56.745487,-4.242247,7
Clynelish 14,64,81.78,6.96,Scotch (Highlands),Clynelish,Clynelish,Diageo,58.023592,-3.868085,17
Collingwood 21,9,82.89,7.27,Canadian Whisky,Collingwood,Blended (Canadian),Brown-Forman,58.031191,-102.432728,3
Colonel E.H. Taylor Barrel Proof,47,88.28,6.65,Bourbon,Colonel E.H. Taylor,Buffalo Trace,Sazerac Company,38.216776,-84.870889,17
Colonel E.H. Taylor Cured Oak,13,87.77,5.85,Bourbon,Colonel E.H. Taylor,Buffalo Trace,Sazerac Company,38.216776,-84.870889,17
Colonel E.H. Taylor Single Barrel,31,83.19,7.24,Bourbon,Colonel E.H. Taylor,Buffalo Trace,Sazerac Company,38.216776,-84.870889,17
Colonel E.H. Taylor Small Batch,51,85.59,5.04,Bourbon,Colonel E.H. Taylor,Buffalo Trace,Sazerac Company,38.216776,-84.870889,17
Colonel E.H. Taylor Straight Rye,35,86.54,5.78,Rye,Colonel E.H. Taylor,Buffalo Trace,Sazerac Company,38.216776,-84.870889,17
Compass Box 3 Year Old Deluxe,9,85.06,5.31,Scotch (Blend),Compass Box,Blended (Scotch),Compass Box,56.745487,-4.242247,7
Compass Box Asyla,18,76.39,9.76,Scotch (Blend),Compass Box,Blended (Scotch),Compass Box,56.745487,-4.242247,7
Compass Box Enlightenment,9,82.11,4.86,Scotch (Blend),Compass Box,Blended (Scotch),Compass Box,56.745487,-4.242247,7
Compass Box Flaming Heart,13,87.0,7.19,Scotch (Blend),Compass Box,Blended (Scotch),Compass Box,56.745487,-4.242247,7
Compass Box Flaming Heart 15th Anniversary Edition,17,85.71,4.9,Scotch (Blend),Compass Box,Blended (Scotch),Compass Box,56.745487,-4.242247,7
Compass Box Great King St. Artist's Blend,25,81.88,7.49,Scotch (Blend),Compass Box,Blended (Scotch),Compass Box,56.745487,-4.242247,7
Compass Box Great King St. Glasgow Blend,12,81.58,4.25,Scotch (Blend),Compass Box,Blended (Scotch),Compass Box,56.745487,-4.242247,7
Compass Box Hedonism,34,78.18,10.6,Scotch (Blend),Compass Box,Blended (Scotch),Compass Box,56.745487,-4.242247,7
Compass Box No Name,12,85.67,6.31,Scotch (Blend),Compass Box,Blended (Scotch),Compass Box,56.745487,-4.242247,7
Compass Box Oak Cross,24,80.0,6.53,Scotch (Blend),Compass Box,Blended (Scotch),Compass Box,56.745487,-4.242247,7
Compass Box Peat Monster,27,80.67,5.5,Scotch (Blend),Compass Box,Blended (Scotch),Compass Box,56.745487,-4.242247,7
Compass Box Spice Tree,37,81.81,6.25,Scotch (Blend),Compass Box,Blended (Scotch),Compass Box,56.745487,-4.242247,7
Compass Box The Lost Blend,13,83.38,8.53,Scotch (Blend),Compass Box,Blended (Scotch),Compass Box,56.745487,-4.242247,7
Compass Box This is Not a Luxury Whisky,12,87.08,6.17,Scotch (Blend),Compass Box,Blended (Scotch),Compass Box,56.745487,-4.242247,7
Connemara Peated,21,74.19,8.19,Irish Whiskey,Connemara,Kilbeggan,Beam Suntory,53.369471,-7.503156,17
Cragganmore 12,45,78.78,7.13,Scotch (Speyside),Cragganmore,Cragganmore,Diageo,57.409817,-3.394154,17
Craigellachie 13,21,80.24,7.97,Scotch (Speyside),Craigellachie,Craigellachie,Bacardi,57.488587,-3.184543,17
Crown Royal,13,67.08,8.66,Canadian Whisky,Crown Royal,Blended (Canadian),Diageo,58.031191,-102.432728,3
